0	0	1
0.0335682	0.0335619	0.999437
0.07205	0.0719877	0.997406
0.109896	0.109675	0.993968
0.147839	0.147301	0.989092
0.185788	0.184721	0.982791
0.223755	0.221892	0.975071
0.261738	0.258759	0.965942
0.299737	0.295269	0.955414
0.337752	0.331367	0.943502
0.375785	0.367002	0.93022
0.413833	0.402122	0.915586
0.451899	0.436674	0.89962
0.489981	0.470609	0.882342
0.52808	0.503876	0.863776
0.566196	0.536425	0.843948
0.604329	0.56821	0.822884
0.642479	0.599182	0.800613
0.680646	0.629295	0.777166
0.718831	0.658505	0.752576
0.757032	0.686767	0.726877
0.795252	0.71404	0.700105
0.833489	0.740281	0.672297
0.871743	0.765452	0.643493
0.910015	0.789513	0.613734
0.948305	0.812428	0.583061
0.986613	0.834163	0.551518
1.02494	0.854682	0.519151
1.06328	0.873956	0.486006
1.10164	0.891952	0.45213
1.14003	0.908644	0.417572
1.17842	0.924004	0.382382
1.21684	0.938009	0.346611
1.25528	0.950635	0.310311
1.29373	0.961862	0.273534
1.3322	0.971672	0.236335
1.3707	0.980047	0.198768
1.40921	0.986973	0.160887
1.44774	0.992438	0.122749
1.48629	0.996431	0.0844099
1.52485	0.998945	0.0459259
1.56344	0.999973	0.00735428
1.60205	0.999512	-0.0312478
1.64068	0.997559	-0.0698229
1.67932	0.994117	-0.108313
1.71799	0.989187	-0.146662
1.75668	0.982774	-0.18481
1.79538	0.974887	-0.222702
1.83411	0.965533	-0.260279
1.87285	0.954726	-0.297486
1.91162	0.942479	-0.334265
1.95041	0.928808	-0.370561
1.98922	0.913732	-0.406319
2.02805	0.89727	-0.441483
2.0669	0.879446	-0.475999
2.10577	0.860283	-0.509816
2.14466	0.83981	-0.54288
2.18357	0.818054	-0.575141
2.22251	0.795047	-0.606547
2.26146	0.770821	-0.637051
2.30044	0.745411	-0.666605
2.33944	0.718854	-0.695161
2.37846	0.691187	-0.722676
2.41751	0.662452	-0.749104
2.45657	0.63269	-0.774405
2.49566	0.601945	-0.798538
2.53477	0.570261	-0.821463
2.5739	0.537686	-0.843145
2.61306	0.504269	-0.863547
2.65224	0.470058	-0.882636
2.69144	0.435105	-0.90038
2.73066	0.399462	-0.91675
2.76991	0.363183	-0.931718
2.80918	0.326322	-0.945259
2.84848	0.288936	-0.957348
2.8878	0.25108	-0.967966
2.92714	0.212813	-0.977093
2.96651	0.174193	-0.984712
3.0059	0.135278	-0.990808
3.04531	0.0961298	-0.995369
3.08475	0.0568074	-0.998385
3.12422	0.0173718	-0.999849
3.16371	-0.0221158	-0.999755
3.20323	-0.0615939	-0.998101
3.24277	-0.101001	-0.994886
3.28233	-0.140276	-0.990112
3.32192	-0.179356	-0.983784
3.36154	-0.21818	-0.975908
3.40119	-0.256687	-0.966494
3.44086	-0.294816	-0.955554
3.48055	-0.332506	-0.943101
3.52028	-0.369697	-0.929152
3.56003	-0.406329	-0.913727
3.5998	-0.442343	-0.896846
3.63961	-0.477682	-0.878533
3.67944	-0.512287	-0.858814
3.7193	-0.546102	-0.837718
3.75918	-0.579073	-0.815275
3.7991	-0.611145	-0.791518
3.83904	-0.642265	-0.766482
3.87901	-0.672382	-0.740204
3.91902	-0.701445	-0.712724
3.95905	-0.729405	-0.684082
3.9991	-0.756216	-0.654322
4.03919	-0.781832	-0.623489
4.07931	-0.80621	-0.59163
4.11946	-0.829306	-0.558794
4.15964	-0.851082	-0.525032
4.19984	-0.871499	-0.490397
4.24008	-0.890522	-0.454941
4.28035	-0.908115	-0.41872
4.32065	-0.924248	-0.381792
4.36099	-0.938891	-0.344214
4.40135	-0.952017	-0.306047
4.44175	-0.9636	-0.267349
4.48218	-0.973618	-0.228184
4.52264	-0.982051	-0.188615
4.56313	-0.988882	-0.148704
4.60366	-0.994095	-0.108516
4.64422	-0.997677	-0.0681166
4.68481	-0.99962	-0.0275714
4.72544	-0.999915	0.0130532
4.76611	-0.998558	0.0536907
4.8068	-0.995546	0.0942739
4.84754	-0.990882	0.134736
4.8883	-0.984567	0.175009
4.92911	-0.976608	0.215026
4.96995	-0.967015	0.25472
5.01082	-0.955798	0.294024
5.05174	-0.942972	0.332872
5.09269	-0.928554	0.371197
5.13367	-0.912564	0.408934
5.1747	-0.895024	0.446018
5.21576	-0.87596	0.482385
5.25687	-0.855398	0.517971
5.29801	-0.83337	0.552716
5.33919	-0.809908	0.586556
5.38041	-0.785049	0.619434
5.42167	-0.758829	0.65129
5.46297	-0.73129	0.682067
5.50432	-0.702474	0.711709
5.5457	-0.672427	0.740164
5.58713	-0.641196	0.767377
5.6286	-0.60883	0.7933
5.67011	-0.575383	0.817884
5.71167	-0.540907	0.841082
5.75327	-0.50546	0.86285
5.79492	-0.469098	0.883146
5.83661	-0.431882	0.90193
5.87834	-0.393874	0.919165
5.92013	-0.355136	0.934815
5.96196	-0.315734	0.948848
6.00383	-0.275734	0.961234
6.04576	-0.235204	0.971946
6.08773	-0.194212	0.980959
6.12975	-0.15283	0.988252
6.17183	-0.111129	0.993806
6.21395	-0.06918	0.997604
6.25612	-0.0270573	0.999634
6.29835	0.0151654	0.999885
6.34063	0.0574137	0.99835
6.38296	0.0996125	0.995026
6.42535	0.141686	0.989912
6.46779	0.18356	0.983009
6.51029	0.225157	0.974323
6.55284	0.266402	0.963862
6.59545	0.307219	0.951639
6.63812	0.347533	0.937668
6.68085	0.387269	0.921967
6.72364	0.426352	0.904557
6.76649	0.464709	0.885464
6.8094	0.502266	0.864713
6.85238	0.538951	0.842337
6.89541	0.574694	0.818369
6.93852	0.609423	0.792845
