-1	-2.95751
-0.99	-2.82887
-0.98	-2.70014
-0.97	-2.57135
-0.96	-2.44249
-0.95	-2.31358
-0.94	-2.18462
-0.93	-2.05564
-0.92	-1.92664
-0.91	-1.79763
-0.9	-1.66863
-0.89	-1.53964
-0.88	-1.41069
-0.87	-1.28177
-0.86	-1.15291
-0.85	-1.02412
-0.84	-0.895403
-0.83	-0.766782
-0.82	-0.638267
-0.81	-0.509872
-0.8	-0.381611
-0.79	-0.253497
-0.78	-0.125545
-0.77	0.0022305
-0.76	0.129816
-0.75	0.257196
-0.74	0.384356
-0.73	0.511282
-0.72	0.637958
-0.71	0.764369
-0.7	0.890499
-0.69	1.01633
-0.68	1.14186
-0.67	1.26705
-0.66	1.39191
-0.65	1.5164
-0.64	1.64052
-0.63	1.76425
-0.62	1.88758
-0.61	2.01048
-0.6	2.13294
-0.59	2.25494
-0.58	2.37648
-0.57	2.49752
-0.56	2.61807
-0.55	2.73809
-0.54	2.85757
-0.53	2.97651
-0.52	3.09487
-0.51	3.21264
-0.5	3.32982
-0.49	3.44637
-0.48	3.5623
-0.47	3.67757
-0.46	3.79217
-0.45	3.9061
-0.44	4.01932
-0.43	4.13184
-0.42	4.24362
-0.41	4.35466
-0.4	4.46494
-0.39	4.57445
-0.38	4.68316
-0.37	4.79108
-0.36	4.89817
-0.35	5.00444
-0.34	5.10985
-0.33	5.21441
-0.32	5.31809
-0.31	5.42089
-0.3	5.52278
-0.29	5.62377
-0.28	5.72382
-0.27	5.82294
-0.26	5.92111
-0.25	6.01832
-0.24	6.11456
-0.23	6.20981
-0.22	6.30407
-0.21	6.39732
-0.2	6.48956
-0.19	6.58077
-0.18	6.67096
-0.17	6.76009
-0.16	6.84818
-0.15	6.93521
-0.14	7.02117
-0.13	7.10606
-0.12	7.18987
-0.11	7.27258
-0.1	7.35421
-0.09	7.43473
-0.08	7.51415
-0.07	7.59246
-0.06	7.66966
-0.05	7.74573
-0.04	7.82069
-0.03	7.89452
-0.02	7.96722
-0.01	8.03879
0	8.10923
0.01	8.17853
0.02	8.2467
0.03	8.31374
0.04	8.37964
0.05	8.4444
0.06	8.50803
0.07	8.57052
0.08	8.63189
0.09	8.69212
0.1	8.75123
0.11	8.80921
0.12	8.86607
0.13	8.92181
0.14	8.97644
0.15	9.02996
0.16	9.08238
0.17	9.13369
0.18	9.18392
0.19	9.23305
0.2	9.28111
0.21	9.32809
0.22	9.374
0.23	9.41886
0.24	9.46266
0.25	9.50543
0.26	9.54715
0.27	9.58785
0.28	9.62753
0.29	9.66621
0.3	9.70389
0.31	9.74058
0.32	9.7763
0.33	9.81104
0.34	9.84484
0.35	9.87768
0.36	9.9096
0.37	9.94059
0.38	9.97067
0.39	9.99986
0.4	10.0282
0.41	10.0556
0.42	10.0822
0.43	10.1079
0.44	10.1328
0.45	10.1568
0.46	10.1801
0.47	10.2025
0.48	10.2242
0.49	10.2451
0.5	10.2653
0.51	10.2847
0.52	10.3033
0.53	10.3213
0.54	10.3386
0.55	10.3552
0.56	10.3711
0.57	10.3863
0.58	10.4009
0.59	10.4149
0.6	10.4283
0.61	10.441
0.62	10.4532
0.63	10.4648
0.64	10.4758
0.65	10.4863
0.66	10.4963
0.67	10.5057
0.68	10.5146
0.69	10.5231
0.7	10.531
0.71	10.5385
0.72	10.5455
0.73	10.5521
0.74	10.5583
0.75	10.564
0.76	10.5694
0.77	10.5743
0.78	10.5789
0.79	10.5831
0.8	10.587
0.81	10.5905
0.82	10.5937
0.83	10.5966
0.84	10.5991
0.85	10.6014
0.86	10.6034
0.87	10.6051
0.88	10.6065
0.89	10.6077
0.9	10.6087
0.91	10.6094
0.92	10.6099
0.93	10.6101
0.94	10.6102
0.95	10.6101
0.96	10.6098
0.97	10.6093
0.98	10.6086
0.99	10.6078
1	10.6068
1.01	10.6057
1.02	10.6044
1.03	10.603
1.04	10.6015
1.05	10.5999
1.06	10.5982
1.07	10.5963
1.08	10.5944
1.09	10.5924
1.1	10.5902
1.11	10.5881
1.12	10.5858
1.13	10.5835
1.14	10.5811
1.15	10.5786
1.16	10.5761
1.17	10.5736
1.18	10.571
1.19	10.5684
1.2	10.5657
1.21	10.563
1.22	10.5603
1.23	10.5576
1.24	10.5548
1.25	10.552
1.26	10.5492
1.27	10.5465
1.28	10.5437
1.29	10.5409
1.3	10.5381
1.31	10.5353
1.32	10.5325
1.33	10.5297
1.34	10.5269
1.35	10.5241
1.36	10.5214
1.37	10.5186
1.38	10.5159
1.39	10.5132
1.4	10.5105
1.41	10.5079
1.42	10.5052
1.43	10.5026
1.44	10.5
1.45	10.4975
1.46	10.495
1.47	10.4925
1.48	10.49
1.49	10.4876
1.5	10.4852
1.51	10.4828
1.52	10.4805
1.53	10.4782
1.54	10.4759
1.55	10.4737
1.56	10.4715
1.57	10.4693
1.58	10.4672
1.59	10.4652
1.6	10.4631
1.61	10.4611
1.62	10.4592
1.63	10.4573
1.64	10.4554
1.65	10.4536
1.66	10.4519
1.67	10.4501
1.68	10.4485
1.69	10.4468
1.7	10.4452
1.71	10.4437
1.72	10.4422
1.73	10.4408
1.74	10.4394
1.75	10.438
1.76	10.4367
1.77	10.4355
1.78	10.4343
1.79	10.4332
1.8	10.4321
1.81	10.431
1.82	10.4301
1.83	10.4291
1.84	10.4283
1.85	10.4275
1.86	10.4267
1.87	10.426
1.88	10.4254
1.89	10.4249
1.9	10.4244
1.91	10.4239
1.92	10.4236
1.93	10.4232
1.94	10.423
1.95	10.4228
1.96	10.4227
1.97	10.4227
1.98	10.4228
